Code Rep;Code Clt;lib famille;lib sfam;cp cli liv;ville cli liv;date doc;Vte Facturées;Marge %(BA)
5;V00411;FILTRATION;FILTRE A AIR;;;23/01/2016;72.51;41.54
5;V00411;FILTRATION;FILTRE A HUILE;;;04/02/2015;25.20;38.06
7;V00464;FILTRATION;FILTRE A HUILE;95301;PONTOISE;13/10/2015;6.66;25.68
7;V00660;PNEUS;PNEUS ANCIEN;95000;CERGY;22/01/2015;49.34;16.92
8;V00166;FREINAGE;PLAQUETTE;95650;PUISEUX PONTOISE;23/01/2015;107.74;27.51
6;V00289;ENTRAINEMENT;COURROIES;;;29/11/2017;34.78;39.99
2;V00798;VITRAGE;ABRASIF, MASQUAGE;92150;SURESNES;03/06/2015;64.68;56.52
6;V00331;DIRECTION, SUSPENSION, TRANSMISSION;RESSORT;95640;MARINES;02/07/2015;99.60;29.17
5;V00411;EQUIPEMENT ATELIER;OUTILLAGE;;;12/12/2017;43.99;29.80
5;V00110;FREINAGE;PLAQUETTE;95450;US;24/11/2016;51.20;41.99
6;V00192;ENTRAINEMENT;COURROIES;95650;PUISEUX-PONTOISE;05/08/2016;6.72;59.52
14;V01214;FREINAGE;PLAQUETTE;;;30/03/2017;20.93;37.84
5;V00411;ECHAPPEMENT;ACCESSOIRES DE MONTAGE;;;27/06/2015;4.56;57.89
8;V00166;FREINAGE;TEMOIN D'USURE;95650;PUISEUX PONTOISE;13/12/2017;8.16;46.69
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;;;03/03/2015;63;45.40
1;V00074;ELECTRICITE;BATTERIE;95250;BEAUCHAMP;04/03/2016;96.40;43.34
7;V00676;EQUIPEMENT ATELIER;CONSOMABLE;95520;OSNY;27/09/2017;64.38;37.14
7;V01044;LIQUIDE;HUILE MOTEUR;95480;PIERRELAYE;26/07/2017;50.05;38.42
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;ESSUIE GLACES;;;15/06/2017;72.50;29.31
5;V00411;ECHAPPEMENT;TUBE, SILENCIEUX;;;21/01/2017;-40.81;56.65
5;V00362;FREINAGE;KIT DE FREIN;;CERGY;28/11/2015;80.18;35.99
2;V00766;VITRAGE;PARE BRISE, LUNETTE;93120;LA COURNEUVE;18/03/2015;37.78;42.01
5;V00430;FREINAGE;PLAQUETTE;;;03/05/2017;32.25;41.98
7;V00688;DIRECTION, SUSPENSION, TRANSMISSION;SOUFFLET;;;01/09/2016;21.13;42.88
5;V00411;CONSOMMABLE CARROSSERIE;GAZ;;;16/02/2015;111.02;39.99
5;V00411;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;DIVERS ACCESSOIRES, ENTRETIEN;;;15/11/2017;49.83;20.63
5;V00411;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;26/10/2017;13.31;33.13
5;V00411;PNEUS;PNEUS;;;10/02/2017;74.80;18.18
7;V00739;DIVERS;DIVERS 0;95000;CERGY;14/10/2016;-45;100
7;V00695;FILTRATION;FILTRE A HUILE;95450;CONDECOURT;21/06/2016;6.60;21.82
7;V01100;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;95450;US;27/07/2017;16.50;47.88
5;V00411;FREINAGE;PLAQUETTE;;;21/05/2015;39.02;51.41
2;V00773;VITRAGE;DIVERS VITRAGE 0;92600;ASNIERES SUR SEINE;13/12/2017;144.43;41.59
5;V00411;FREINAGE;KIT DE FREIN;;;22/05/2015;51.75;40
1;V00638;DIRECTION, SUSPENSION, TRANSMISSION;ROULEMENT;95840;VILLIERS ADAM;04/05/2015;107.08;40
1;V00074;FILTRATION;FILTRE HABITACLE;95250;BEAUCHAMP;04/06/2015;-3.12;29.49
7;V00676;ENTRAINEMENT;GALET, POULIE, DAMPER;95520;OSNY;09/03/2017;57.75;30.91
7;V00739;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95000;CERGY;14/04/2016;31.90;47.27
6;V00979;FREINAGE;PLAQUETTE;95450;VIGNY;26/11/2015;-48.84;41.99
1;V00074;ECHAPPEMENT;TUBE, SILENCIEUX;95250;BEAUCHAMP;24/06/2015;81.75;20
5;V00411;FREINAGE;MACHOIRE DE FREIN;;;26/02/2016;20.30;32.02
5;V00411;FREINAGE;PLAQUETTE;;;13/07/2017;192.05;39.64
5;V00411;ECHAPPEMENT;TUBE, SILENCIEUX;;;07/10/2016;41.67;48.88
8;V00968;FREINAGE;TEMOIN D'USURE;95310;ST OUEN L AUMONE;03/08/2016;24.48;46.65
6;V00289;FILTRATION;FILTRE A HUILE;;;06/05/2015;6.10;25.74
7;V00676;ECLAIRAGE;LAMPE, AMPOULE, AMPOULE PHARE;95520;OSNY;07/03/2016;48.15;37.78
5;V00411;EQUIPEMENT ATELIER;CONSOMABLE;;;23/05/2017;63.02;29.70
1;V00449;ENTRAINEMENT;DEMARREUR;95027;CERGY-PONTOISE CEDEX;28/07/2017;143.52;36.66
1;V00951;VITRAGE;DIVERS VITRAGE 0;95000;CERGY;29/12/2016;26.40;33.33
1;V00178;VITRAGE;DIVERS VITRAGE 0;95280;JOUY LE MOUTIER;03/05/2016;184.15;34.12
6;V00752;FILTRATION;FILTRE HABITACLE;95450;VIGNY;16/06/2015;10.92;29.40
