Code Rep;Code Clt;lib famille;lib sfam;cp cli liv;ville cli liv;date doc;Vte Facturées;Marge %(BA)
14;D00634;LIQUIDE;LIQUIDE DE FREIN;;;21/07/2017;7.28;38.46
14;D00634;LIQUIDE;LIQUIDE DE FREIN;;;03/08/2017;6.02;42.86
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;18/04/2017;17.2;42.44
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;02/06/2017;5.78;31.66
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;15/06/2017;11.27;38.86
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;07/07/2017;6.19;36.19
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;21/08/2017;6.6;40.15
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;13/09/2017;22.54;40.55
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;29/09/2017;11.27;40.55
14;D00634;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;;;05/10/2017;18.15;34.71
14;D00634;LIQUIDE;LAVE GLACE;;;23/06/2017;28.33;28.2
14;D00634;LIQUIDE;LAVE GLACE;;;05/09/2017;4.43;44.02
14;D00634;LIQUIDE;LAVE GLACE;;;21/11/2017;4.92;49.59
14;D00634;LIQUIDE;LAVE GLACE;;;13/12/2017;5.19;34.49
14;D00634;LIQUIDE;DIVERS LIQUIDES;;;26/05/2017;169;-0.59
14;D00634;PNEUS;PNEUS;;;04/08/2017;84.24;13.34
14;D00634;COMPTABILITE;CONSIGNE;;;02/05/2017;-91.46;0
14;D00634;COMPTABILITE;CONSIGNE;;;12/05/2017;76.22;0
14;D00634;COMPTABILITE;CONSIGNE;;;18/07/2017;60;0
14;D00634;COMPTABILITE;CONSIGNE;;;26/12/2017;76;0
14;D00634;DIVERS;BAGUE, JOINT;;;12/05/2017;31.46;36.05
14;D00634;DIVERS;BAGUE, JOINT;;;22/05/2017;20.13;37.95
14;D00634;DIVERS;BAGUE, JOINT;;;29/08/2017;39;34.1
14;D00634;DIVERS;BAGUE, JOINT;;;27/11/2017;35.4;33.87
14;D00634;DIVERS;CABLE;;;28/07/2017;-24.54;35
14;D00634;DIVERS;CABLE;;;01/08/2017;41.36;39.99
14;D00634;DIVERS;CABLE;;;10/10/2017;0;0
14;D00634;DIVERS;TUYAU, DURITE;;;26/05/2017;16.24;57.14
14;D00634;DIVERS;TUYAU, DURITE;;;11/08/2017;3.06;37.91
14;D00634;DIVERS;FOURNITURE, VIS, RONDELLE...;;;19/05/2017;0.83;80.72
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;29/09/2017;56.95;44.99
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;02/10/2017;34;41.26
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;;;18/10/2017;23;36
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;SOUFFLET;;;26/09/2017;0;0
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;TRANSMISSION;;;23/05/2017;79.17;45.07
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;TRANSMISSION;;;02/08/2017;121.56;47.91
14;D00634;DIRECTION, SUSPENSION, TRANSMISSION;BUTEE, SEMELLE, COUPELLE, KIT DE PROTECTION;;;26/09/2017;19.64;45.01
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;22/05/2017;14.22;31.65
14;D00634;VITRAGE;RETROVISEUR, MIROIR;;;01/06/2017;21.87;32.14
14;D00634;VITRAGE;ACCESSOIRE PARE BRISE, VITRAGE;;;11/10/2017;15.98;58.07
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;02/06/2017;8.35;21.8
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;21/06/2017;30.15;31.91
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;27/06/2017;22.25;44.13
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;04/07/2017;17.38;39.01
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;19/09/2017;22.48;57.3
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;02/10/2017;25.42;51.1
14;D00634;VITRAGE;DIVERS VITRAGE 0;;;05/10/2017;41.6;31.97
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;17/05/2017;57.81;39.27
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;30/05/2017;337.86;7.6
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;12/06/2017;48.27;27.78
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;28/06/2017;3.43;27.7
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;04/07/2017;33.2;2.5
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;02/08/2017;13.9;14.17
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;05/10/2017;3.9;22.05
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;03/11/2017;6.46;34.98
14;D00634;EQUIPEMENT ATELIER;OUTILLAGE;;;16/11/2017;74.93;26.66
14;D00634;EQUIPEMENT ATELIER;MATERIEL;;;10/11/2017;2821.8;21.9
